Date,rf_1m,rf_2m,rf_3m,rf_6m,rf_10y
2017-04-19,2.6069 ,2.7095 ,2.8806 ,3.0312 ,3.4065 
2017-04-26,2.5385 ,2.7259 ,2.9182 ,3.0784 ,3.4519 
2017-05-03,2.6983 ,2.7705 ,2.9827 ,3.1329 ,3.5219 
2017-05-10,2.7843 ,2.8789 ,3.0784 ,3.1661 ,3.6900 
2017-05-17,2.6561 ,3.0306 ,3.1584 ,3.3518 ,3.6275 
2017-05-24,2.7077 ,3.0853 ,3.2517 ,3.4133 ,3.6601 
2017-05-31,2.8060 ,3.1837 ,3.2054 ,3.3713 ,3.6102 
2017-06-07,3.0404 ,3.2200 ,3.4326 ,3.4705 ,3.6427 
2017-06-14,3.3315 ,3.3955 ,3.5812 ,3.6945 ,3.5354 
2017-06-21,3.4659 ,3.4936 ,3.5315 ,3.6483 ,3.5406 
2017-06-28,3.1374 ,3.1500 ,3.1590 ,3.3315 ,3.5333 
2017-07-05,3.1268 ,3.1300 ,3.1610 ,3.3219 ,3.5760 
2017-07-12,3.0715 ,3.0998 ,3.2382 ,3.3743 ,3.5749 
2017-07-19,2.9824 ,2.9691 ,3.1103 ,3.4011 ,3.5901 
2017-07-26,2.9378 ,2.9547 ,3.0360 ,3.3042 ,3.6170 
2017-08-02,2.8159 ,2.9264 ,3.0063 ,3.2749 ,3.6311 
2017-08-09,2.3660 ,2.7692 ,2.9093 ,3.2382 ,3.6600 
2017-08-16,2.3942 ,2.7923 ,2.8011 ,3.2656 ,3.5988 
2017-08-23,2.4989 ,2.8198 ,2.8512 ,3.2947 ,3.6152 
2017-08-30,2.8174 ,2.9415 ,3.0631 ,3.3664 ,3.6303 
2017-09-06,2.8668 ,2.9463 ,2.9742 ,3.3744 ,3.6554 
2017-09-13,2.9439 ,2.9968 ,3.0429 ,3.3779 ,3.6356 
2017-09-20,3.0807 ,3.0954 ,3.0680 ,3.3695 ,3.6209 
